博主主页,博主昵称,发布时间,微博内容,微博地址,微博来源,评论,赞,转发
https://weibo.com/1722850751?refer_flag=1001030103_,小田妞儿,2011-03-12 06:48,【日本福岛核电站可能已泄漏】北京时间3月11日13点46分，日本本州岛附近海域发生里氏8.8级地震。东京电力公司表示，福岛核电站可能已经出现泄漏。O网页链接 滚动视频集：O网页链接,https://weibo.com/1640601392/3z4CYlipna?refer_flag=1001030103_,微博 weibo.com,0,0,0
https://weibo.com/1082375171?refer_flag=1001030103_,Shangchi_Beijing,2011-03-12 09:22,日本地震核电站开始泄漏放射性物质。日本核安全局官员12日清晨透露，福岛核电站附近放射性辐射强度已超过正常标准1000倍以上。这座核电站开始泄露放射性物质。此前，日本东北部发生的8.9级特大地震造成福岛核电站控制系统供电中断，核反应堆冷却系统被迫停止工作。O网页链接,https://weibo.com/1082375171/bVd4Jx?refer_flag=1001030103_,微博 weibo.com,0,0,0
https://weibo.com/1851564991?refer_flag=1001030103_,夕影天空,2011-03-12 01:12,快讯：据共同社报道，日本福岛第一核电站内涡轮机房辐射水平上升。,https://weibo.com/1893801487/3z4CYlby0Z?refer_flag=1001030103_,微博 weibo.com,0,0,0
https://weibo.com/1893383420?refer_flag=1001030103_,CanUFeelMyPoWer,2011-03-12 05:41,共同社最新消息：福岛县第一核电站附近的放射物质含量已达到正常标准的8倍。日本官员称该核电站可能已发生核泄漏。 日本首相发表声明，核电站周围10公里内居民必须撤离。,https://weibo.com/1893801487/3f4CYlfAFD?refer_flag=1001030103_,微博 weibo.com,0,0,0
https://weibo.com/2020968441?refer_flag=1001030103_,朱飞霞blog_404,2011-03-12 09:22,日本福岛县第一和第二核电站已经发现核泄漏】日本首相菅直人今日清晨搭乘陆上自卫队的直升机，前往福岛县第一核电站和地震灾区进行视察。由于福岛县第一和第二核电站已经发现核泄漏，因此，日本政府紧急决定疏散周围10公里的居民。,https://weibo.com/2020968441/wBMF05PQz?refer_flag=1001030103_,微博 weibo.com,1,0,0
https://weibo.com/1815975672?refer_flag=1001030103_,波特桑,2011-03-12 09:22,#O网页链接#希望如此吧，老美应该不会坐视不管的 《日本福岛核电站开始泄漏放射性物质》 O网页链接（ 来自@手机新浪网 ）,https://weibo.com/1815975672/bVd1bb?refer_flag=1001030103_,手机新浪网,0,0,0
https://weibo.com/1939812635?refer_flag=1001030103_,姜域,2011-03-12 09:22,日本福岛两个核电站发布了核泄漏预警，对中国大力发展核电提出了课题，否则后果不堪设想。,https://weibo.com/1939812635/bVd0R9?refer_flag=1001030103_,微博 weibo.com,2,0,0
https://weibo.com/1958891187?refer_flag=1001030103_,新闻资讯中心,2011-03-12 09:22,【日福岛核电站可能发生爆炸 周边居民紧急撤离】位于日本福岛县的第1、第2核电站的核反应堆水温持续上升，可能会发生爆炸，并导致严重的核泄漏，日本政府于3月12日清晨作出决定，立即撤离核电站周边的居民。核电站已经无法控制反应堆的水温。,https://weibo.com/1958891187/bVcZNH?refer_flag=1001030103_,微博 weibo.com,1,0,2
https://weibo.com/1862752562?refer_flag=1001030103_,夫可贯祥,2011-03-12 09:22,日本核电站已经有泄露：附近的辐射是平时的一千多倍！,https://weibo.com/1862752562/bVcZ89?refer_flag=1001030103_,微博 weibo.com,0,0,0
https://weibo.com/1707688103?refer_flag=1001030103_,专利防辐射茶,2011-03-12 09:22,日本核电站泄露 4.5万人疏散 O网页链接,https://weibo.com/1707688103/bVcYC1?refer_flag=1001030103_,JiaThis分享按钮,0,0,0
https://weibo.com/1859178372?refer_flag=1001030103_,嘉定公安芬芬警官,2011-03-12 09:22,日本地震海啸致死或超千人；长野县今发生两次地震，造成山体滑坡和雪崩；目前东京交通陷瘫痪；福岛第一核电站发生泄漏。看到新闻车和船碰在了一起！愿地震中的你们坚强！,https://weibo.com/1859178372/bVcYd3?refer_flag=1001030103_,S60客户端,2,0,0
https://weibo.com/1841984170?refer_flag=1001030103_,创新的戈壁滩,2011-03-12 09:22,《日本福岛核电站开始泄漏放射性物质》 O网页链接（ 来自@手机新浪网 ）,https://weibo.com/1841984170/bVcXUZ?refer_flag=1001030103_,手机新浪网,0,0,0
https://weibo.com/1850370985?refer_flag=1001030103_,tkyfc,2011-03-12 01:12,快讯：据共同社报道，日本福岛第一核电站内涡轮机房辐射水平上升。,https://weibo.com/1893801487/3z4CYlby0Z?refer_flag=1001030103_,微博 weibo.com,0,0,0
https://weibo.com/2020301793?refer_flag=1001030103_,善良傻瓜牵着我_241,2011-03-12 09:20,[爱心传递] 国之声：据日本媒体报道，东京电力公司表示，福岛核电站可能已经出现泄露。日本核安全部门表示，一个反应堆内部的辐射强度已达到正常水平的,https://weibo.com/2020301793/wBMDVAsWO?refer_flag=1001030103_,微博 weibo.com,0,0,0
https://weibo.com/1672207003?refer_flag=1001030103_,席子xaine,2011-03-12 09:20,第一财经：日福岛核电站可能发生爆炸，附近居民紧急撤离,https://weibo.com/1672207003/bVcHEh?refer_flag=1001030103_,uc浏览器ios,3,0,3
https://weibo.com/1857162740?refer_flag=1001030103_,我系楚楚楚2,2011-03-12 09:20,日福岛核电站可能发生爆炸 周边居民紧急撤离。  环球网记者王欢报道 位于日本福岛县的第1、第2核电站的核反应堆水温持续上升，可能会发生爆炸，并导致严重的核泄漏，日本政府于3月12日清晨作出决定，立即撤离核电站周边的居民。O网页链接,https://weibo.com/1857162740/bVcHen?refer_flag=1001030103_,微博 weibo.com,0,0,0
https://weibo.com/1844991594?refer_flag=1001030103_,毛8毛,2011-03-12 07:30,00:02日本内阁官房长官枝野幸男：发出余震和海啸警告；要求公众为余震做好准备，余震可能像初震一样强烈。00:00日本内阁官房长官枝野幸男：福岛核电站没有发生核泄漏；装有发电机的车辆正前往福岛核电站供电。从日本地震来看，遇到巨大破坏力的自然灾害和战争，核电站将是最大的安全隐患。,https://weibo.com/1496952253/3f4CYlkkOH?refer_flag=1001030103_,微博 weibo.com,0,0,0
https://weibo.com/1841308001?refer_flag=1001030103_,滴水藏海119,2011-03-12 09:19,#天灾人祸#地球打喷憩，日本抖三抖。房屋倒，渔船没，海啸起，核电站也跟着添乱。生命已逝去，生命在呼唤，生命在悲痛。日本人经历过无数次的考验，相信日本人的韧性、果敢、坚强，为生命祈祷。祈求佛祖的庇护，上帝的保佑。,https://weibo.com/1841308001/bVcF5b?refer_flag=1001030103_,uc浏览器ios,0,0,0
https://weibo.com/1854623214?refer_flag=1001030103_,金慧眼,2011-03-12 09:19,日福岛核电站可能发生爆炸 周边居民紧急撤离 位于日本福岛县的第1、第2核电站的核反应堆水温持续上升，可能会发生爆炸，并导致严重的核泄漏，日本政府于3月12日清晨作出决定，立即撤离核电站周边的居民。,https://weibo.com/1854623214/bVcEQF?refer_flag=1001030103_,微博 weibo.com,0,0,0
https://weibo.com/2020913005?refer_flag=1001030103_,乖乖我的小q,2011-03-12 09:19,#东京~日本~本州岛~地震~海啸#福岛核电站发生泄漏，数千人紧急疏散！O网页链接,https://weibo.com/2020913005/bVcE1n?refer_flag=1001030103_,微博 weibo.com,0,0,0
https://weibo.com/2020913005?refer_flag=1001030103_,乖乖我的小q,2011-03-12 09:19,#海啸#福岛核电站发生泄漏，数千人紧急疏散！O网页链接,https://weibo.com/2020913005/bVcDn5?refer_flag=1001030103_,微博 weibo.com,0,0,0
